,0
707,287.08032
708,298.9336
709,288.10004
710,273.48184
711,160.25446
712,302.8043
713,331.66846
714,304.4692
715,270.42865
716,263.13492
717,149.47064
718,99.68122
719,37.84907
720,68.067055
721,12.054665
722,48.2335
723,43.510925
724,90.72099
725,265.59372
726,473.23123
727,375.66428
728,341.21646
729,308.4734
730,293.12442
731,277.20636
732,291.58594
733,243.7604
734,262.07605
735,284.06412
736,283.77655
737,326.47055
738,321.72305
739,314.51306
740,253.87918
741,137.3952
742,73.13784
743,72.86144
744,85.289925
745,13.2653
746,34.34301
747,71.98381
748,111.45803
749,347.82724
750,383.51825
751,353.22104
752,325.72458
753,332.13852
754,305.92514
755,297.4974
756,276.5827
757,311.06604
758,265.58585
759,285.70425
760,267.46863
761,300.4875
762,274.27258
763,239.2801
764,193.66989
765,175.39018
766,125.24546
767,66.76402
768,67.782135
769,40.31025
770,38.387653
771,61.79754
772,86.85158
773,218.73856
774,172.24896
775,209.74544
776,243.96074
777,248.86328
778,236.46663
779,201.12848
780,193.33922
781,177.47876
782,153.1583
783,151.27333
784,198.2672
785,167.50249
786,165.07956
787,139.08391
788,80.79616
789,65.374466
790,48.492687
791,42.711166
792,38.465363
793,14.447977
794,29.629707
795,25.452112
796,94.24276
797,129.60645
798,114.25556
799,107.55705
800,108.43738
801,93.798035
802,56.983578
803,74.06481
804,74.8745
805,95.036026
806,98.253716
807,110.47866
808,89.89633
809,112.48463
810,64.68032
811,75.65728
812,71.18706
813,67.065414
814,36.981068
815,81.96816
816,3.4507875
817,17.798956
818,37.653954
819,102.237
820,277.30942
821,446.0384
822,344.30988
823,340.44348
824,264.4801
825,254.45755
826,246.38065
827,238.36723
828,226.93448
829,240.20222
830,173.95593
831,182.43745
832,206.54399
833,190.89621
834,286.7688
835,233.04863
836,139.92447
837,95.01346
838,64.66689
839,48.64047
840,10.154679
841,60.18333
842,67.61702
843,143.95483
844,335.19507
845,390.489
846,351.91458
847,308.61743
848,339.74515
849,324.765
850,312.61353
851,293.67706
852,306.12976
853,239.80208
854,240.11465
855,246.6617
856,264.81085
857,293.14615
858,295.82025
859,216.00594
860,128.42183
861,94.3518
862,23.7284
863,30.301153
864,46.659378
865,46.25305
866,78.9585
867,103.2708
868,276.39984
869,400.005
870,360.64328
871,378.74695
872,336.87265
873,296.4167
874,317.24142
875,282.44574
876,276.51663
877,290.2204
878,255.52267
879,258.17963
880,295.9166
881,310.30554
882,281.54156
883,241.63702
884,147.50111
885,69.201775
886,1.705351
887,66.52617
888,42.232616
889,24.687664
890,77.44831
891,86.83794
892,321.88315
893,421.64047
894,403.76013
895,329.4782
896,342.3887
897,325.62894
898,305.39148
899,283.66406
900,301.3252
901,251.74666
902,169.73624
903,215.05142
904,333.75314
905,305.7711
906,298.96536
907,239.21039
908,130.28049
909,91.83026
910,68.80723
911,79.43575
912,23.760921
913,32.729992
914,69.484566
915,108.51788
916,355.5839
917,425.95923
918,398.16696
919,361.83902
920,348.63614
921,312.29874
922,288.98102
923,241.84525
924,275.3343
925,206.08499
926,278.96136
927,166.30103
928,271.35892
929,302.0989
930,240.67865
931,225.39233
932,216.37215
933,134.14677
934,3.1062367
935,112.92021
936,26.475677
937,39.14672
938,69.57382
939,79.427086
940,245.58603
941,217.71747
942,233.83623
943,232.31557
944,228.53201
945,180.48804
946,175.48787
947,196.46118
948,164.09404
949,164.53397
950,129.99393
