,0
257,188.37325
258,129.46426
259,95.29419
260,55.933887
261,37.455307
262,31.943666
263,40.651173
264,55.98067
265,109.34362
266,370.91086
267,427.73383
268,380.6697
269,330.9792
270,296.2481
271,283.63232
272,274.32913
273,285.8249
274,235.25723
275,229.00032
276,292.6176
277,298.9613
278,322.75638
279,313.51538
280,288.02173
281,234.29616
282,147.09819
283,67.44892
284,61.823463
285,49.352596
286,34.887047
287,29.483702
288,55.606155
289,115.61866
290,373.06415
291,419.65323
292,364.15222
293,318.03613
294,315.99988
295,293.8955
296,304.2378
297,285.51553
298,301.3873
299,252.32623
300,270.98798
301,271.4253
302,304.89807
303,283.0444
304,247.40167
305,185.80832
306,142.4139
307,108.36119
308,83.9176
309,47.847153
310,34.592815
311,30.16955
312,48.264683
313,85.234085
314,121.78933
315,188.26944
316,223.46019
317,239.3008
318,234.34102
319,221.39467
320,194.32237
321,189.69821
322,177.2319
323,158.42401
324,169.15114
325,192.19286
326,168.89212
327,165.67093
328,133.46646
329,86.094574
330,61.054207
331,52.95634
332,43.39004
333,35.45789
334,28.45774
335,18.844927
336,29.887295
337,43.143116
338,54.221157
339,70.46716
340,89.08254
341,96.35486
342,89.68991
343,83.48027
344,71.24734
345,67.06288
346,66.51601
347,85.01512
348,93.8839
349,93.96336
350,85.15232
351,79.63571
352,72.58624
353,57.654144
354,57.698673
355,46.501904
356,32.17549
357,27.191822
358,34.935627
359,32.286217
360,52.083424
361,146.5524
362,384.58252
363,416.54727
364,369.88095
365,319.94333
366,222.98033
367,229.82939
368,321.97095
369,227.25285
370,195.93193
371,193.85948
372,205.3913
373,317.0774
374,236.48645
375,256.92813
376,247.03377
377,181.00978
378,123.56036
379,101.691605
380,52.08005
381,38.87115
382,29.924755
383,37.575687
384,61.875675
385,121.92681
386,370.6139
387,422.11227
388,353.8978
389,295.5481
390,346.53305
391,328.63803
392,311.1366
393,293.87125
394,294.0821
395,232.17886
396,260.44342
397,272.2437
398,264.94333
399,290.1426
400,271.34875
401,179.7261
402,122.802376
403,88.91882
404,55.93976
405,33.299065
406,21.847713
407,34.688046
408,56.28341
409,106.590744
410,334.21393
411,404.23828
412,360.3491
413,369.0438
414,334.40472
415,292.3896
416,321.2873
417,282.6588
418,253.90778
419,286.70483
420,316.29337
421,263.4008
422,291.6617
423,308.57114
424,291.071
425,214.1942
426,129.14636
427,69.23208
428,47.176918
