,0
160,101.79506
161,77.25622
162,51.28544
163,41.61322
164,44.40253
165,26.534397
166,15.871518
167,30.718716
168,30.275923
169,57.50402
170,60.718315
171,79.36914
172,87.39058
173,99.968254
174,73.22057
175,84.71186
176,83.07326
177,67.100624
178,83.54863
179,69.13937
180,88.15634
181,85.45843
182,88.61957
183,71.63093
184,61.078236
185,64.54003
186,46.052113
187,54.48439
188,36.40697
189,29.368484
190,27.298483
191,25.399921
192,60.80492
193,119.15139
194,372.0613
195,361.40344
196,328.10995
197,268.1523
198,219.3857
199,208.15924
200,171.80878
201,223.95038
202,194.10031
203,135.96228
204,123.77593
205,126.47443
206,322.851
207,274.05774
208,259.43137
209,188.55219
210,114.435165
211,73.4381
212,80.81408
213,33.14564
214,34.23986
215,34.8889
216,56.668823
217,122.834114
218,368.8086
219,380.81207
220,358.2919
221,291.3133
222,231.4282
223,278.55417
224,303.9677
225,240.40434
226,232.34032
227,192.0262
228,220.09937
229,272.65814
230,317.72546
231,312.6182
232,257.02432
233,166.1585
234,120.36664
235,90.87527
236,55.64435
237,40.953503
238,31.15649
239,28.13483
240,53.106926
241,109.568245
242,351.58133
243,378.35928
244,371.29166
245,343.144
246,317.29138
247,267.67307
248,281.60486
249,296.82605
250,274.15094
251,276.28052
252,188.67842
253,296.3387
254,303.08194
255,320.26526
256,227.55267
257,189.24654
258,134.87033
259,89.16274
260,51.558586
261,29.262094
262,25.132273
263,42.661118
264,53.948597
265,119.573456
266,361.53656
267,404.15567
268,393.4755
269,339.07584
270,317.794
271,284.65494
272,279.17203
273,291.38318
274,232.21747
275,258.07928
276,268.32623
277,293.28958
278,320.8835
279,325.54773
280,295.90707
281,235.3044
282,138.83496
283,63.33269
284,70.609436
285,55.724106
286,32.085526
287,33.404816
288,58.470604
289,123.622314
290,361.27393
291,390.57944
292,374.73914
293,320.4614
294,319.29865
295,304.41928
296,304.51184
297,297.5214
298,295.40952
299,265.09192
300,271.67505
301,260.3086
302,294.95288
303,276.83636
304,241.55478
305,211.40616
306,145.52669
307,99.88092
308,78.5661
309,47.62487
310,40.496872
311,35.39339
312,48.938232
313,100.88149
314,120.9113
315,175.97397
316,211.25516
317,244.42525
318,237.92763
319,219.81949
320,184.17606
321,178.53983
322,171.57487
323,144.00642
324,166.71379
325,190.43193
326,160.09067
327,149.59021
328,123.12395
329,77.60023
330,57.163002
331,48.776726
332,44.181267
333,23.986181
334,24.02412
335,24.564129
336,52.885796
337,36.849133
338,62.071247
339,80.64885
340,101.509544
341,98.06258
342,98.94738
343,85.01952
344,64.9977
345,76.66207
346,71.2083
347,100.90392
348,100.345665
349,99.48861
350,89.53293
351,96.41823
352,68.2287
353,68.362885
354,60.586876
355,48.64887
356,33.399704
357,36.61207
358,30.168968
359,32.969223
360,52.244358
361,138.81198
362,370.84967
363,370.17114
364,346.26358
365,302.2174
366,218.02206
367,243.90448
368,302.67352
369,237.58899
370,207.00531
371,207.73622
372,175.39494
373,288.36444
374,227.02989
375,241.34978
376,235.26611
377,184.86986
378,125.40312
379,98.7392
380,61.31099
381,39.135445
382,26.287806
383,42.916653
384,59.55397
385,134.04913
386,361.028
387,394.30917
388,358.73468
389,318.45996
390,340.29373
391,336.8396
392,316.83713
393,307.23666
394,295.0236
395,240.93973
396,267.70087
397,276.157
398,273.64688
399,287.39172
400,282.97614
401,179.81566
402,123.42737
403,91.1889
404,48.67815
405,23.68923
406,29.606293
407,37.151993
408,58.173996
409,113.744545
410,347.63635
411,389.98056
412,368.34158
413,361.42285
414,344.85315
415,308.41858
416,319.77155
417,287.13513
418,297.37396
419,253.96124
420,311.49054
421,267.73193
