,0
1772,84.134674
1773,48.094154
1774,34.290115
1775,35.457836
1776,54.4222
1777,125.91811
1778,339.6275
1779,368.22498
1780,323.21347
1781,334.13895
1782,351.99353
1783,327.58694
1784,310.15158
1785,337.67252
1786,287.16537
1787,251.28596
1788,246.5046
1789,302.61646
1790,263.6864
1791,297.98984
1792,320.46997
1793,255.64601
1794,144.73384
1795,87.485596
1796,46.15884
1797,50.83271
1798,37.19636
1799,32.39562
1800,61.997505
1801,114.35635
1802,363.0035
1803,361.89813
1804,383.84708
1805,352.70593
1806,317.46127
1807,266.857
1808,337.1113
1809,288.96133
1810,240.20612
1811,254.35995
1812,243.47157
1813,266.55533
1814,334.4717
1815,338.27838
1816,299.0662
1817,214.17545
1818,176.80759
1819,131.1017
1820,75.3766
1821,64.54364
1822,35.315773
1823,40.660896
1824,43.69233
1825,74.698456
1826,172.84485
1827,215.2197
1828,252.68889
1829,225.48462
1830,253.8237
1831,232.23834
1832,205.80594
1833,203.81273
1834,207.40367
1835,203.56746
1836,223.2489
1837,211.89441
1838,209.66733
1839,200.85243
1840,144.47386
1841,104.58085
1842,67.71471
1843,61.82466
1844,82.1434
1845,29.676493
1846,38.182964
1847,30.228756
1848,26.46113
1849,48.095383
1850,89.84974
1851,90.9302
1852,94.226715
1853,119.25101
1854,98.32898
1855,101.13193
1856,104.045105
1857,115.950096
1858,102.20167
1859,114.26976
1860,110.512115
1861,104.98461
1862,66.3402
1863,77.44927
1864,72.31911
1865,67.26715
1866,83.984825
1867,71.218544
1868,25.015234
1869,43.644302
1870,26.990976
1871,22.963436
1872,49.95192
1873,125.24283
1874,288.34552
1875,375.3086
1876,349.93698
1877,308.45526
1878,310.7979
1879,292.1684
1880,279.68588
1881,262.54678
1882,268.90063
1883,250.62222
1884,289.837
1885,281.46335
1886,292.78586
1887,232.75551
1888,252.54102
1889,231.6116
1890,192.0745
1891,97.753685
1892,90.65918
1893,51.43499
1894,34.108974
1895,38.39117
1896,59.049835
1897,128.63379
1898,367.58572
1899,452.57602
1900,374.6963
1901,329.4556
1902,315.6474
1903,279.33472
1904,289.2368
1905,284.94937
1906,286.55646
1907,301.78622
1908,310.9144
1909,321.68002
1910,289.99496
1911,282.3606
1912,224.54562
1913,224.9784
1914,193.82907
1915,127.69401
1916,71.61433
1917,41.19243
1918,34.65685
1919,38.37
1920,54.845863
1921,118.52327
1922,395.6232
1923,432.3176
1924,351.55893
1925,307.92978
1926,278.50754
1927,244.30411
1928,292.4946
1929,322.7885
1930,298.97696
1931,268.553
1932,325.92227
1933,313.10535
1934,308.0851
1935,306.00027
1936,307.1008
1937,227.12799
1938,183.84154
1939,118.31124
1940,79.82052
1941,47.69099
1942,33.568775
1943,38.198753
1944,59.21426
1945,130.10184
1946,355.79166
1947,393.99475
1948,358.90997
1949,334.66736
1950,294.3643
1951,318.04364
1952,320.10287
1953,293.19434
1954,290.0385
1955,315.12952
1956,310.1662
1957,335.19873
1958,327.66318
1959,327.08368
1960,295.17508
1961,221.34921
1962,183.18222
1963,135.2402
1964,73.86213
1965,55.978737
1966,30.203213
1967,38.43396
1968,61.08025
1969,125.29599
1970,367.21997
1971,418.15134
1972,383.9343
1973,317.85056
1974,301.69333
1975,305.1277
1976,316.35428
1977,338.2922
1978,314.93558
1979,300.1003
1980,285.044
1981,285.34235
1982,305.13348
1983,285.22772
1984,291.31686
1985,245.75621
1986,196.3869
1987,183.25343
1988,121.28314
1989,57.792076
1990,45.26041
1991,44.03155
1992,49.706093
1993,80.12921
1994,187.87523
1995,218.63791
1996,238.94444
1997,266.5854
1998,243.27274
1999,229.22649
2000,213.69205
2001,212.50151
2002,201.3294
2003,202.98936
2004,202.13449
2005,204.94333
2006,202.14552
2007,194.32764
2008,166.03804
2009,138.02716
2010,102.90711
2011,59.813572
2012,76.5172
2013,45.49702
2014,31.625006
2015,26.542463
2016,28.320848
2017,52.232903
2018,75.48246
2019,94.80321
2020,124.64378
2021,102.70107
2022,93.15374
2023,94.32251
2024,122.180626
2025,113.149994
2026,116.17912
2027,118.72797
2028,108.26142
2029,121.782684
2030,128.61534
2031,104.20637
2032,88.35102
2033,72.69057
2034,68.175674
2035,74.45178
2036,73.477615
2037,35.997345
2038,26.73044
2039,26.457808
2040,44.98002
2041,145.1929
2042,413.80194
2043,425.80853
2044,338.55734
2045,291.96268
2046,271.60904
2047,262.13498
2048,249.46446
2049,252.18202
2050,235.43806
2051,226.31007
2052,246.08899
2053,284.0445
2054,309.86905
2055,295.99088
2056,315.70496
2057,233.68158
2058,183.12425
2059,128.14162
2060,60.00265
2061,52.217094
2062,32.97333
2063,36.616924
2064,57.559643
2065,151.42256
2066,382.92648
2067,425.5643
2068,363.408
2069,312.59338
2070,304.75226
2071,282.1425
2072,291.01013
2073,278.71155
2074,311.35934
2075,293.5197
2076,298.10376
2077,296.66342
2078,331.2154
2079,350.04483
2080,315.7455
2081,267.7485
2082,179.92737
2083,107.35727
2084,89.71169
2085,50.983707
2086,32.358673
2087,37.861042
2088,67.479256
2089,122.32553
2090,370.64816
2091,435.12668
2092,367.5174
2093,290.4584
2094,282.8661
2095,328.93814
2096,313.91302
2097,279.17447
2098,260.21347
2099,280.51834
2100,270.8653
